serviceCode,serviceCodeCategoryID,serviceCodeCategory,serviceName,BusinessUnitCategory
104-100,104,CARDIOLOGY,2D Echo,
104-101,104,CARDIOLOGY,DOBUTAMINE STRESS ECHO ( DSE ),
104-102,104,CARDIOLOGY,ELECTRO CARDIOGRAM ( ECG ),
104-103,104,CARDIOLOGY,HOLTER MONITORING,
104-104,104,CARDIOLOGY,TILT TEST,
104-105,104,CARDIOLOGY,TREADMILL TEST ( STRESS TEST ) ( TMT ),
104-106,104,CARDIOLOGY,TRANSESOPHAGEOL ECHO  ( TEE ),
104-107,104,CARDIOLOGY,VCD CHARGES,
104-108,104,CARDIOLOGY,2D ECHO ( BED SIDE ),
104-2369,104,CARDIOLOGY,CARDIAC CATH,
1041-111,104,CARDIOLOGY,RENAL ANGIOGRAM,
104-110,104,CARDIOLOGY,CORONARY ANGIOGRAM,
104-90,104,CARDIOLOGY,ANGIO PLASTY (PTCA),
104-123,104,CARDIOLOGY,Temporary Pace Maker Implantation(TPA),
104-9089,104,CARDIOLOGY,EP STUDIES,
104-9087,104,CARDIOLOGY,RF ABLATION,
141-312,104,CARDIOLOGY,PERICARDIAL TAPPING (CATH LAB),
104-128,104,CARDIOLOGY,PERIPHERAL ANGIOGRAM,
104-118,104,CARDIOLOGY,ATTEMPTED PTCA,
172-114,104,CARDIOLOGY,PULMONARY FUNCTION TEST  ( PFT ),
104-119,104,CARDIOLOGY,STENT IMPLANTATION CHARGES,
104-120,104,CARDIOLOGY,PERMANANT PACE MAKER IMPLANTATION,
104-122,104,CARDIOLOGY,CAROTID ANGIOGRAM,
104-124,104,CARDIOLOGY,ICD (IMPLANTABLE CARDIOVERTER- DEFIBRILLATER),
104-125,104,CARDIOLOGY,RENAL ANGIOPLASTY,
104-126,104,CARDIOLOGY,PERIPHERAL ANGIOPLASTY,
104-127,104,CARDIOLOGY,AORTOGRAM,
104-137,104,CARDIOLOGY,ASD CLOSURE(ATIAL SEPTAL DEFET),
104-138,104,CARDIOLOGY,IVC FILTER,
104-139,104,CARDIOLOGY,PDA CLOSURE,
104-140,104,CARDIOLOGY,PBMA,
104-141,104,CARDIOLOGY,PBAV,
104-142,104,CARDIOLOGY,PBPV,
104-143,104,CARDIOLOGY,PPI,
104-144,104,CARDIOLOGY,4 VESSEL ANGIOGRAM / VISERAL ANGIOGRAM,
104-145,104,CARDIOLOGY,ABONDED PTCA,
104-146,104,CARDIOLOGY,POBA,
104-147,104,CARDIOLOGY,AORTIC STENTING,
104-148,104,CARDIOLOGY,STEMCELL THERAPY,
104-150,104,CARDIOLOGY,PULMONARY ANGIOGRAM,
104-151,104,CARDIOLOGY,CAROTID ANGIOPLASTY,
104-152,104,CARDIOLOGY,CHECK ANGIO,
104-155,104,CARDIOLOGY,FRACTIONAL FLOW RESERVE,
104-156,104,CARDIOLOGY,C R T D,
104-157,104,CARDIOLOGY,VENOGRAM,
